userId,username,date,content,tweetId,replyCount,retweetCount,likeCount,inReplyToUser,mentionedUsers,hashtags
46911568,violetvelocity,2023-04-03 04:23:11+00:00,Batik Air no flights langsung. 🤦‍♂️,1.64274E+18,0,0,0,,,
9.50432E+17,_buberly_,2023-04-03 01:46:51+00:00,@BatikAirINA batik air ID 6333 denpasar labuan bajo kenapa return to denpasar ya?,1.64271E+18,1,0,0,,['BatikAirINA'],
920270239,danbiology,2023-04-03 01:04:33+00:00,@LUUOYl Iya Batik Air masih oke. Papaku sering naik itu kalau Malang - Jakarta.,1.64269E+18,1,0,0,LUUOYl,['LUUOYl'],
7.67336E+17,LUUOYl,2023-04-03 01:04:01+00:00,@danbiology Naik Lion asli deh harus banyak banyakin ibadah. The only Lion yang masih oke kataku Batik Air doang,1.64269E+18,1,0,0,danbiology,['danbiology'],
1.25216E+18,seo_jiwoohalu,2023-04-03 00:57:53+00:00,"@AREAJULID tapi kalo naiknya batik air beda nder, keranjang berkeliaran, tapi turbulensinya kayak naik hysteria,  pesawatnya jatoh2 njing",1.64269E+18,0,0,1,AREAJULID,['AREAJULID'],
1.38409E+18,Sweetcigsx,2023-04-03 00:11:06+00:00,@narutoris Batik air aja si kata aku bagasinya gede juga jadi u kalo mau bawa barang banyak enak juga,1.64268E+18,1,0,0,goldencrystle,,
527078396,_wafflepancake,2023-04-02 11:56:38+00:00,Pejabrut akhir-akhir ini prefer Batik Air apakah ada hubungannya dengan,1.6425E+18,0,0,1,,,
70922752,ChriistinaDewi,2023-04-02 10:43:31+00:00,Halo @lionairgroup penerbangan dengan batik air besok jam 7 pagi dari dps ke halim perdakusuma no flight ID 7314 tidak ada perubahan kan?,1.64248E+18,1,0,0,,['lionairgroup'],
1.60446E+18,WingDirgantara2,2023-04-02 08:58:04+00:00,"Apakah Kunming itu bagian dari negara ini ?
Atau sebaliknya, negara ini jadi bagian dari negara lain ?

Inflight entertainment batik air https://t.co/uYgqWDkEHz",1.64245E+18,0,0,0,,,
1.22388E+18,tapayaakamu,2023-04-02 08:49:36+00:00,@indsane aku pernah jg beli tiket pesawat di traveloka yg batik air dan xpress air itu diinfoin kalo ada perubahan jadwal gitu2,1.64245E+18,0,0,0,indsane,['indsane'],
60011477,noviiriinRJB,2023-04-02 08:02:13+00:00,"Lebih suka beli via app maskapainya langsung sih. Tp app nya batik air bikin emosi jiwa perihal mo booking tiket aja bisa tiba2 harga berubah naik turun, bisa tiba2 no flight, bisa udah masuk halaman cekot tiba2 app down lah🥱",1.64244E+18,0,0,0,,,
7.9301E+17,dishub_bwi,2023-04-02 03:49:06+00:00,"Flight Sunday 🌥️
Bandara Internasional Banyuwangi

✈️ Jakarta
Batik Air ID 6591 - (A320)
REG : PK-LAJ &amp; CITILINK QG 0702 - (A320) REG : PK-GLI https://t.co/0FDNlM7ueU",1.64237E+18,0,0,0,,,
215546966,argonurcahyo,2023-04-01 22:32:24+00:00,"@BatikAirINA Selamat pagi, mohon informasi terkait penerbangan Batik Air ID 6724 tujuan jakarta - kendari pada hari senin, 3 april 2023, apakah masih sesuai jadwal di 8.45 WIB? Atau sudah dialihkan ke penerbangan lain?
Sudah contact Call Center via WA tapi responnya berabad2....",1.64229E+18,3,0,0,,['BatikAirINA'],
1.5583E+18,maubelanjaaja,2023-04-01 13:38:00+00:00,Ada yg jual tiket citilink/batik air Bpp/smd ke yia ga tgl 19 april ? #zonauang,1.64216E+18,0,0,0,,,['zonauang']
1.53567E+18,hello_sonson,2023-04-01 09:20:20+00:00,@loonaprojector H-1 dikasih kabar diganti ke penerbangan Batik Air. https://t.co/kQTkIeEtlu,1.64209E+18,2,0,0,loonaprojector,['loonaprojector'],
46527903,tats_dk,2023-04-01 08:04:46+00:00,"Batik Air Malaysia
（旧Malind Air ）
737MAX 8
#centrair https://t.co/OP3ecFZRRY",1.64208E+18,0,1,3,,,['centrair']
267652575,romelwijaya,2023-04-01 06:40:20+00:00,"@BatikAirINA min, mau nanya, umur kehamilan yg diperbolehkan flight di Batik Air minimal berapa bulan ya? 

Makasih 🙏",1.64205E+18,0,0,0,,['BatikAirINA'],
217376888,p4piKRiS,2023-04-01 02:28:59+00:00,@Kemulyaan1 @Anang_ssanto @CNNIndonesia Bu SMI pulang tugas dari Papua naik Batik Air... mau langsung sidak ke kantor BC bandara Cengkareng ktnya. bgitu mnrt berita...,1.64199E+18,0,0,0,Kemulyaan1,"['Kemulyaan1', 'Anang_ssanto', 'CNNIndonesia']",
2714225462,italiavola,2023-03-31 19:20:51+00:00,Batik Air Malaysia vola alle Maldive https://t.co/ohjeq7GTTB,1.64188E+18,0,0,0,,,
607408254,amiruddinhariss,2023-03-31 12:06:11+00:00,"Terbang dengan Lion Group, Diskon hingga Rp150.000!
Tentukan destinasi liburanmu dan terbang dengan Lion Group! Nikmati diskon hingga Rp150.000 untuk tiket pesawat Lion Air, Batik Air, Wings Air, dan Super Air Jet. 
https://t.co/h5A3c1faYy

#tiketpesawat #tiketpesawatmurah https://t.co/HSmtDeOuT6",1.64177E+18,0,0,0,,,"['tiketpesawat', 'tiketpesawatmurah']"
1.63345E+18,Fatih_hamzahh31,2023-03-31 10:32:04+00:00,"Mulai Tanggal 7 April 2023

Batik Air membuka penerbangan langsung dari Bali ke Singapur dan sebaliknya.

Batik Air ID 7135
Bali - Singapur Pkl. 13.45

Batik Air ID 7134
Singapura - Bali Pkl. 16.00

Yuk pesan tiket Batik Air di MMBC https://t.co/JaH85YMFqf https://t.co/nKVcoJJhww",1.64175E+18,0,1,2,,,
484383961,sudaryanta,2023-03-31 08:41:29+00:00,"@BatikAirINA , mohon info utk pe erbamgan batik air semarang Jakarta sabtu , 1 april 2023 jam 12.00  apakah dibatalkan?",1.64172E+18,0,0,0,,['BatikAirINA'],
7.9301E+17,dishub_bwi,2023-03-31 05:31:15+00:00,"Flight Today ☁️
Bandara Internasional Banyuwangi

✈️ Jakarta
BATIK AIR - ID 6591 - (A320) REG : PK-BKJ
CITILINK - QG0701 - (A320) REG : PK-GQP https://t.co/kaSsiTMHp0",1.64167E+18,0,0,0,,,
1.0676E+18,Tangguh_SKIPM,2023-03-31 03:23:37+00:00,"30/03/2023
Pengawasan lalulintas pemasukan media pembawa penumpang pesawat Batik air asal Malaka di Terminal Kedatangan Internasional Bandara Internasional Sultan Syarif Kasim II Pekanbaru
#KKPThrive
#EkonomiBiru 
#SaktiWahyuTrenggono
#BMK2023 https://t.co/q8mSlCFnVA",1.64164E+18,0,0,3,,,"['KKPThrive', 'EkonomiBiru', 'SaktiWahyuTrenggono', 'BMK2023']"
1.0676E+18,Tangguh_SKIPM,2023-03-31 03:13:52+00:00,"28/03/2023
Pengawasan lalulintas pemasukan media pembawa penumpang pesawat Batik air asal Malaka di Terminal Kedatangan Internasional Bandara Internasional Sultan Syarif Kasim II Pekanbaru
#KKPThrive
#EkonomiBiru 
#SaktiWahyuTrenggono
#BMK2023 https://t.co/MyCU2ohZQ5",1.64164E+18,0,0,1,,,"['KKPThrive', 'EkonomiBiru', 'SaktiWahyuTrenggono', 'BMK2023']"
973161283,idbcpr,2023-03-31 02:36:36+00:00,Batik Air ID 7515 Jakarta To Surabaya Flight Report - https://t.co/ACRCKwA5M5 https://t.co/uMSHZJVnmx,1.64163E+18,0,0,0,,,
131790281,wufaliang,2023-03-30 13:09:07+00:00,"@PastorGilbertL @ganjarpranowo @wayankoster2014 Bbrp thn lalu,kita sama2 terbang ke jkt di business class batik air. 1 pesawat menunggu anda yg seperti raja naik pesawat terakhir.begitu mendarat,ada petugas yg bawakan tas anda sejak turun tangga pesawat.",1.64143E+18,0,0,0,PastorGilbertL,"['PastorGilbertL', 'ganjarpranowo', 'wayankoster2014']",
1.30662E+18,Waaniiy_,2023-03-30 11:19:44+00:00,"Today's iftar menu
Ayam masak cili
Kambing
Bubur lambuk
Kek batik
Air bliss 😂",1.6414E+18,1,0,2,,,
220906523,sunbrk,2023-03-30 09:20:02+00:00,Malaysia ge Batik Air in Rajje ah dhathuruthah fashanee https://t.co/cgpq8WOoCA,1.64137E+18,0,1,0,,,
4108281914,DagangNews,2023-03-30 09:02:07+00:00,Batik Air lebarkan sayap ke Korea Selatan dan Maldives bermula 23 Jun 2023 | DagangNews https://t.co/YslW9b5XJs,1.64137E+18,0,0,0,,,
1.27308E+18,JoeAza10,2023-03-30 06:17:13+00:00,"@KontakIndomaret Mo tanya.. apakah di Indomaret dapat membeli tiket pesawat spt batik air... Kedua apakah di semua Indomaret dpt melakukan 
transaksi pembeliaan tiket kereta api atau hanya Indomaret tertentu saja. Terima kasih",1.64132E+18,0,0,0,KontakIndomaret,['KontakIndomaret'],
1.26321E+18,lifeportofolio,2023-03-30 05:11:59+00:00,pramugari batik air hit different 🤧🤩🤩,1.64131E+18,1,0,0,,,
1.0676E+18,Tangguh_SKIPM,2023-03-29 18:16:53+00:00,"27/03/2023
Pengawasan lalulintas pemasukan media pembawa penumpang pesawat Batik air asal Malaka dan Pesawat Scoot asal Singapura di Terminal Kedatangan Internasional Bandara Internasional Sultan Syarif Kasim II Pekanbaru
#KKPThrive
#EkonomiBiru 
#SaktiWahyuTrenggono
#BMK2023 https://t.co/i4CfxHe0da",1.64114E+18,0,0,4,,,"['KKPThrive', 'EkonomiBiru', 'SaktiWahyuTrenggono', 'BMK2023']"
1.0676E+18,Tangguh_SKIPM,2023-03-29 18:08:57+00:00,"26/03/2023
Pengawasan lalulintas pemasukan media pembawa penumpang pesawat Batik air asal Malaka di Terminal Kedatangan Internasional Bandara Internasional Sultan Syarif Kasim II Pekanbaru
#KKPThrive
#EkonomiBiru 
#SaktiWahyuTrenggono
#BMK2023 https://t.co/Ky1hNMXJpj",1.64114E+18,0,0,4,,,"['KKPThrive', 'EkonomiBiru', 'SaktiWahyuTrenggono', 'BMK2023']"
